Indicator	Type	ORDER	Description
1.7.3	Example(s)	2190	A city with peak demand exceeding the flow capacity of the transmission mains but that still remains fully operational due to individual storing capacities, can consider this as a 'no major disruption'. On the other hand, in the case an eventual service disruption of a few hours incurs in substantial setbacks, the answer would be 'significant disruptions'.
1.7.3	Example(s)	2200	Seasonal disruptions can occur during dry seasons due to source water level reduction and to competition with other usages such as irrigation.
1.7.3	Example(s)	2210	A seasonal disruption can occur in the rainy season, when heavy rain results on the clogging of water sources, inducing the overflow of open dumps and sanitation facilities. This can cause contamination and high turbidity of the sources' water, rendering it untreatable for consumption.
1.7.4	Consideration(s)	2220	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.7.4	Consideration(s)	2230	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.7.4	Consideration(s)	2240	The developments can encompass institutional (e.g. new policies), operational (e.g. better demand management) and/or infrastructural (e.g. extension of the piped network) measures.
1.7.4	Consideration(s)	2250	Consider any improvements on the processes involved in the collection, treatment, storage and/or distribution of drinking water.
1.7.4	Consideration(s)	2260	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.7.4	Example(s)	2270	A city currently performing improvement of its water supply distribution system, by relocating the intakes and the establishment of protection zones, based on the development plan, whilst feeding back newly-acquired information into the plan, has its plan categorised as 'under implementation, with regular monitoring and revision'.
1.7.4	Example(s)	2280	A city developing a strategy to monitor its drinking water quality through sampling and analysis will have a plan considered as 'under development', and the 'local' scale should be selected.
1.7.4	Example(s)	2290	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.7.5	Consideration(s)	2300	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the water supply system should be explicit.
1.7.5	Consideration(s)	2310	The strategy can consider the restoration of the affected operators or the provision of alternative sources and/or of distribution networks.
1.7.5	Consideration(s)	2320	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.7.5	Example(s)	2330	If the plan has been elaborated, the alternatives have been verified and confirmed, and defined roles and responsibilities have been assigned and informed, it is considered as 'implemented' and the 'local' level should be selected.
1.7.5	Example(s)	2340	If a contingency plan has been elaborated, with the communication strategy and technical procedures in case of a major failure in the piped distribution network tested in drills, by using a near-by lake and tanked trucks as the alternative drinking water source, select 'implemented, periodically monitored and reviewed'.
2.1	General Consideration(s)	2350	Urban fabric is understood as the spatial structure of a city's area. This involves the analysis of physical structures (natural or man-made) at different scales as well as land use, ownership and occupation. There is a particular interest in understanding the influence that the local government has over the urban fabric.
2.1.1	Consideration(s)	2360	Land cover can be given as a fraction of the considered land cover type in relation to total city's area, or as the area of the city with the specific land cover.
2.1.1	Consideration(s)	2370	Agricultural land encompasses arable land (usually under a system of crop rotation), permanent grassland (generally used for grazing by livestock or mowed for hay or silage) and permanent crops (trees or shrubs, not grown in rotation).
2.1.1	Consideration(s)	2380	Consider artificial land as all area covered with buildings, streets, parking lots, roads, bridges and all sealed surfaces.
2.1.1	Consideration(s)	2390	Regard green land as open areas partly or completely covered with grass, trees, shrubs, or other vegetation, this includes parks, community gardens, natural reserves, etc. Blue land refers to all natural or man-made water bodies.
2.1.2	Consideration(s)	2400	A building's built-up area is the horizontal projection of the building, therefore a building with a single story has the same built-up area as a multi-story one if they occupy the same land area.
2.1.2	Consideration(s)	2410	Data for built-up area can be given as a fraction of the considered built-up area type in relation to total city's area covered with buildings, or as the area of the city with the specific built-up.
2.1.2	Sub - Consideration(s)	2420	Commercial built-up area refers to all buildings where commercial activities such as the exchange of goods, services or something of value (e.g. shopping malls, retail outlets, logistic hubs, commercial warehouses, weekend informal markets) take place.
2.1.2	Sub - Consideration(s)	2430	Industrial built-up area refers to all buildings where industrial activity takes place (e.g. food processing, mining, automotive, chemical, textile, electronic).
2.1.2	Sub - Consideration(s)	2440	Consider public built-up area as all publicly- or privately-owned buildings that are utilised by the general population such as schools, hospitals, government buildings, concert halls, conference centres, etc.
2.1.2	Sub - Consideration(s)	2450	Regard residential built-up area as all different types of residential dwellings such as single houses, private condominiums, cooperative housing, multi-story dwellings, retirement residences, social housing, etc.
2.1.2	Sub - Consideration(s)	2460	Residential floor area is the sum of all usable floor space dedicated to housing in occupied dwellings, it includes all covered spaces used by the household for cooking, eating, sleeping, sanitation or other domestic activities.
2.1.2	Sub - Consideration(s)	2470	Consider social housing as all affordable housing intended for vulnerable population regulated by government policies that define different types of tenancy arrangements. These arrangements may include rental housing, which can be owned and managed by the government and/or by non-profit organizations, purchase of housing at a reduced value and a combination of the previous dispositions.
2.1.2	Sub - Consideration(s)	2480	Informal areas are residential, commercial and/or industrial areas where people have no security of tenure over the land or buildings they use, with modalities ranging from squatting to informal rental arrangement. The neighbourhoods usually lack, or are cut off from, basic services and city infrastructure and the buildings may not comply with current planning and building regulations.
2.1.3	Consideration(s)	2490	Data regarding public open spaces can be given in relative numbers (i.e., as a percentage in relation to the city area), or in absolute numbers (i.e., area occupied).
2.1.3	Consideration(s)	2500	Public open spaces are all places publicly owned or of public use, accessible and enjoyable by all for free and without profit motive. Public spaces encompass a range of different settings, such as streets, sidewalks, bicycle lanes, squares, play grounds, open areas of public facilities, green spaces (e.g., gardens, parks, conservation areas).
2.1.4	Consideration(s)	2510	Land tenure is the relationship, whether legally or customarily defined, among people, as individuals or groups, with respect to land, determining how land is used, possessed, sold, or in other ways disposed.
2.1.4	Consideration(s)	2520	The different types of land tenure usually include private (land rights are hold by a private party), communal/collective (a certain community shares the land rights, where each member has a right to use the land independently), open access (there is no restrictions to the usage of the resources of the land) and state (land rights are assigned to a government authority).
2.1.5	Consideration(s)	2530	The different levels of jurisdiction of the local government (e.g. issuing regulation, granting permits and licenses, inspecting usage conditions, etc.) over the different components of the land usage should be considered separately.
2.1.5	Consideration(s)	2540	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the urban fabric, including the coordination of the different stakeholders.
2.1.5	Consideration(s)	2550	If relevant, please differentiate local government jurisdiction over commercial, industrial, public facilities, housing and public infrastructure.
2.1.5	Example(s)	2560	When a local government assigns permits for commercial activities in a certain part of the city, in accordance with the land-use city plan, and that it performs regular inspections, it is considered that the local governments 'exerts control'.
2.1.5	Example(s)	2570	If a local government is only responsible for monitoring and reporting the land-use permits issued by the national ministry of public works, it is considered that the local government only 'monitors'.
2.1.6	Consideration(s)	2580	The plan should define land-use options, determining land set aside for parks and open space, residential areas, commercial and industrial uses, mixed-use areas, etc. It should also take into consideration socio-economic and environmental aspects.
2.1.6	Consideration(s)	2590	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
2.1.6	Consideration(s)	2600	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
2.1.6	Consideration(s)	2610	Take into account the relevance of regional and national level plans in the local context and select the most appropriate spatial level for which the plan was developed.
2.1.6	Example(s)	2620	A city with a land use plan where it determines the admissible land use and density for future developments promoting mixed land use, diversity and better connectivity, that is reviewed and monitored regularly, would have a plan 'under implementation, with regular monitoring and revision' at the 'local' level.
2.1.6	Example(s)	2630	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
2.1.7	Consideration(s)	2640	Enforcement mechanisms should encompass adequate penalties for violations of the laws and regulations.
2.1.7	Consideration(s)	2650	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requirements for applicable natural hazards (earthquakes, tsunamis, floods, etc.)
2.1.7	Consideration(s)	2660	Health and safety standards are regulations put in place to protect and promote the health of workers and a safe work environment. Environmental standards are regulations designed to avoid, minimise or mitigate adverse environmental impacts of specific activities.
2.2	General Consideration(s)	2670	Consider all facilities where commercial activities such as the exchange of goods, services or something of value (e.g. shopping malls, retail outlets, logistic hubs, commercial warehouses, weekend informal markets) take place.
2.2.1	Consideration(s)	2680	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requisites for applicable natural hazards (earthquakes, tsunamis, floods, etc.)
2.2.1	Consideration(s)	2690	Regard traditional typologies as facilities that do not follow building codes but were built in accordance with traditional construction techniques that take into consideration in their design the effects of local natural hazards such as floods, earthquakes, tropical cyclones (e.g. elevated structures in flood-prone areas).
2.2.1	Consideration(s)	2700	There is a particular interest in identifying risk-resistant constructions, either following building codes or traditional typologies, as all buildings, facilities and infrastructure not fitting into these two categories are more likely to suffer structural damages in case of disasters.
2.3	General Consideration(s)	2710	Regard all different types of residential dwellings such as single houses, private condominiums, cooperative housing, multi-story dwellings, retirement residences, social housing, etc.
2.3	General Consideration(s)	2720	Only consider buildings as residential if more than half of the floor area is dedicated to residential purposes.
2.3.1	Consideration(s)	2730	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requirements for applicable natural hazards (earthquakes, tsunamis, floods, etc.).
2.3.1	Consideration(s)	2740	Regard traditional typologies as facilities that do not follow building codes but were built in accordance with traditional construction techniques that take into consideration in their design the effects of local natural hazards such as floods, earthquakes, tropical cyclones (e.g. elevated structures in flood-prone areas).
2.3.1	Consideration(s)	2750	There is a particular interest in identifying risk-resistant constructions, either following building codes or traditional typologies, as all buildings, facilities and infrastructure not fitting into these two categories are more likely to suffer structural damages in case of disasters.
2.3.2	Consideration(s)	2760	The different levels of jurisdiction of the local government over the different tenures arrangements and types of residential dwellings can be considered separately (e.g. social housing, cooperate housing, private condominiums, rental houses)
2.3.2	Consideration(s)	2770	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the educational system, including the coordination of the different stakeholders.
2.3.2	Example(s)	2780	When a local government establishes a rent control programme, preventing landlords from increasing rents above a certain rate, then the government is considered to 'exert control' over the house rental market.
2.3.2	Example(s)	2790	If a government owns and operates the city's social housing residential buildings, establishing the criteria for eligibility and determining the level of rents to be charged, it is considered that the government 'fully controls and operates' the social housing.
2.3.3	Consideration(s)	2800	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
2.3.3	Consideration(s)	2810	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
2.3.3	Consideration(s)	2820	The developments can consist of institutional (e.g. new policies), operational (e.g. better management) and/or infrastructural (e.g. expansion of the piped network) measures.
2.3.3	Consideration(s)	2830	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
2.3.3	Example(s)	2840	A city with a master plan determining the future developments regarding housing, that is reviewed and monitored on a regular basis, would have a development plan 'under implementation, with regular monitoring and revision' for a 'local' level.
2.3.3	Example(s)	2850	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
2.3.4	Consideration(s)	2860	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding housing should be explicit.
2.3.4	Consideration(s)	2870	The plan can encompass different measures such as government incentives for rebuilding, logistics procedures to undertake during emergencies, identification of areas for resettlements, etc.
2.3.4	Consideration(s)	2880	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
2.3.4	Example(s)	2890	When a city is elaborating a response and recovery plan in order to provide funding for homeowners to rebuild or perform repair work at their houses after a natural or manmade hazard it is consider as 'under development' and the 'local' spatial scale should be selected.
2.3.4	Example(s)	2900	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
2.4	General Consideration(s)	2910	Only consider the facilities where industrial activity takes place (e.g. food processing, mining, automotive, chemical, textile, electronic).
2.4.1	Consideration(s)	2920	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requirements for applicable natural hazards (earthquakes, tsunamis, floods, etc.). Note that industries have additional building requirements according to their potentially hazardous activities (e.g. oil spills, explosion, radiation, contamination).
2.4.1	Consideration(s)	2930	Regard traditional typologies as facilities that do not follow building codes but were built in accordance with traditional construction techniques that take into consideration in their design the effects of local natural hazards such as floods, earthquakes, tropical cyclones (e.g. elevated structures in flood-prone areas).
2.4.1	Consideration(s)	2940	There is a particular interest in identifying risk-resistant constructions, either following building codes or traditional typologies, as all buildings, facilities and infrastructure not fitting into these two categories are more likely to suffer structural damages in case of disasters.
2.5	General Consideration(s)	2950	Consider all publicly- or privately-owned facilities that are utilised by the general population such as schools, hospitals, government buildings, concert halls, conference centres, etc.
2.5.1	Consideration(s)	2960	It is possible to provide data separately for each public facility category (e.g. hospitals, schools, concert halls, government buildings) or by regarding all public facilities without distinctions.
2.5.1	Consideration(s)	2970	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requirements for applicable natural hazards (earthquakes, tsunamis, floods, etc.). Note that public facilities may have additional building requirements according to their usages (e.g. number of sanitation facilities, evacuation procedures, fire protection systems).
2.5.1	Consideration(s)	2980	Regard traditional typologies as facilities that do not follow building codes but were built in accordance with traditional construction techniques that take into consideration in their design the effects of local natural hazards such as floods, earthquakes, tropical cyclones (e.g. elevated structures in flood-prone areas).
2.5.1	Consideration(s)	2990	There is a particular interest in identifying risk-resistant constructions, either following building codes or traditional typologies, as all buildings, facilities and infrastructure not fitting into these two categories are more likely to suffer structural damages in case of disasters.
2.6	General Consideration(s)	3000	Consider public infrastructure the physical components of interrelated systems providing services essential to enable, sustain, or enhance living conditions.
2.6.1	Consideration(s)	3010	It is possible to provide data separately for each public infrastructure category or by regarding all public infrastructure without distinctions.
2.6.1	Consideration(s)	3020	Public infrastructures can be divided in different categories such as energy (e.g. transmission towers, solar farms, wind farms, dams), communications (e.g. cell towers, TV/radio antennas), transport (airports, roads, bridges, train stations, ports), water supply (e.g. aqueducts, pump stations, reservoirs), wastewater (e.g. treatment plants, pipelines), solid waste (e.g. incineration plants, combustion plants, landfills), fuel and gas supply (e.g. refinery, storage tanks, pipelines).
2.6.1	Consideration(s)	3030	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for infrastructure design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control and requirements for applicable hazards (earthquakes, tsunamis, floods, etc.). Some building codes establish special requirements for certain critical infrastructure to maintain functions during and after hazards.
2.6.1	Consideration(s)	3040	Consider traditional typologies as the infrastructures that do not follow building codes but were built in accordance with traditional construction techniques that take into consideration in their design the effects of local natural hazards such as medieval stone bridges.
2.6.1	Consideration(s)	3050	There is a particular interest in identifying risk-resistant constructions, either following building codes or traditional typologies, as all buildings, facilities and infrastructure not fitting into these two categories are more likely to suffer structural damages in case of disasters.
3	General Consideration(s)	3060	The classical breakdown of economic sectors consider three main categories. Primary sector involves mostly extraction of raw materials (e.g. agriculture, mining, fishing); secondary sector relates to transformation of goods (e.g. most industrial activities, construction); and tertiary sector entails services in general (e.g. retail, consultants, dentists, accountants, tourism services).
3	General Consideration(s)	3070	Consider all ownership structures - state-owned, private, collective and intermediary arrangements. The inclusion of informal activities to the extent possible is advised in order to allow a more comprehensive understanding of the subject.
3.1.2	Consideration(s)	3080	Employment data can be provided in terms of percentage of population working for each sector in relation to the total labour force, or the total amount of employees working for each sector. Information should be specified by gender.
3.1.2	Consideration(s)	3090	Revenue information can be given in terms of percentage of each sector's GVA over the city's total GDP, or the total GVA for each sector. GVA stands for gross value added - the measure of the value of services and goods produced in an economic sector, whilst GDP is the measure of all final goods and services produced in the city within a certain period of time.
3.x.1	Consideration(s)	3100	The general level of influence of the government over the companies within the particular sector should be considered.
3.x.1	Consideration(s)	3110	Consider only companies that are privately owned, operate under public-private partnership arrangements, or are controlled and run by any other governments level.
3.x.1	Consideration(s)	3120	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the economy sector, including the coordination of the different stakeholders.
3.x.1	Consideration(s)	3130	Influence can be exerted via the application of subsidies, specific tax charges/deductions, or regulations guiding the operation of a certain sector.
3.x.1	Example(s)	3140	On some market-oriented economies, local government sometimes is only 'informed' of the movements of the enterprises.
3.x.1	Example(s)	3150	Where tax deductions are given in return for company(ies) meeting certain requirements, it can be considered that the local government 'exerts influence' over the market.
3.x.2	Consideration(s)	3160	Different companies have distinct requirements to continue its operations, but a general perspective on the matter for each sector should be contemplated.
3.x.2	Consideration(s)	3170	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the companies.
3.x.2	Example(s)	3180	For cases where a certain type of industry faces disruptions during recurring flooding events, the rationale 'geographical/environmental' should be selected.
3.x.3	Consideration(s)	3190	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
3.x.3	Consideration(s)	3200	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
3.x.3	Consideration(s)	3210	In terms of institutional measures, the plan can establish, for example, new policies to incentivise a specific sector, new standards for the operation of a certain activity, or new product quality requirements. Regarding operational aspects, it can include capacity building programmes to provide professionals for a certain activity, programmes to reshuffle workers in case of unemployment, definition of special economic zones with particular taxation rates, etc. On the infrastructural standpoint, the plan can consider the upgrade of the transport network to enhance logistic efficiency, or the construction of an industrial complex to accommodate a certain type of industries.
3.x.3	Consideration(s)	3220	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
3.x.3	Example(s)	3230	A city can have a plan to subsidise a certain activity due to its potential to generate employment, but yet to be applied, therefore 'developed but not implemented', and on the 'local' scale.
3.x.3	Example(s)	3240	A national plan that envisions subsidies for a specific economic sector country-wide, still in its conceptual or feasibility study stage, will be considered as 'under development' at the 'national' scale.
3.x.4	Consideration(s)	3250	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding the recovery of economy activities should be explicit.
3.x.4	Consideration(s)	3260	Consider the recovery of both structural (e.g. buildings) and non-structural (e.g. finances) aspects of the enterprises and workers. The strategy can include, for example, facilitating access to funds for businesses to recover or relocation of employees to different activities.
3.x.4	Consideration(s)	3270	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
3.x.4	Example(s)	3280	If the plan has been elaborated, and defined funding sources for recovery have been assigned, it is considered as 'implemented'.
3.x.4	Example(s)	3290	If there is a regional plan for relocation of workers in case of economic downturns, but alternatives are not available locally, it should be considered as 'developed but not implemented', and the 'regional' level should be selected.
3.5	Consideration(s)	3300	Assess the most important economic activity(ies) conducted in the city, in terms of employment or revenue share, or any other factor that is locally relevant.
3.5	Consideration(s)	3310	Economic activity, in this case, is a segment within one of the main economic sectors. Ex.: agriculture, mining or fishing (primary sector); manufacturing or chemical industries or construction (secondary sector); tourism services, consultants or retail (tertiary sector).
3.5	Consideration(s)	3320	Data for the indicators below should be provided separately for each one of the activity(ies) selected as being relevant by the local government.
4.1	General Consideration(s)	3330	Air quality management encompasses monitoring, forecasting, evaluating and decision-making. Consider both public and private monitoring entities in the assessment.
4.1	General Consideration(s)	3340	The most common pollutants are particulate matter (PM10), fine particulate matter (PM2.5), nitrogen dioxide (NO2), sulphur dioxide (SO2) and ground level ozone (O3). Both short- and long- term exposure to high concentrations of these pollutants have adverse health effects. The World Health Organisation (WHO) has air quality guidelines that establish thresholds for health-harmful pollutants’ levels for outdoor air, namely annual average concentrations (i.e., long-term) and annual exceedance days (i.e., short-term).
4.1	General Consideration(s)	3350	Not all cities measure the same pollutants, but it is important that values from 12-month periods are provided to encompass seasonal variation on the concentrations.
4.1.1	Consideration(s)	3360	Concentration data is usually given in μg/m3 or ppm.
4.1.1	Consideration(s)	3370	Exceedance days are the number of days in a year where the average concentration of a pollutant is above the specified reference value.
4.1.1	Consideration(s)	3380	If a city has more than one air quality monitoring station, consider the average concentration values for all the stations within the city, and the maximum value of the exceedance days for all the stations within the city.
4.1.2	Consideration(s)	3390	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
4.1.2	Consideration(s)	3400	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the air quality management, including the coordination of the different stakeholders.
4.1.2	Example(s)	3410	A city with an environmental department responsible for the monitoring of the air quality 'fully controls and operates' the air quality monitoring.
4.1.2	Example(s)	3420	A city can 'exert control' over private institutions (e.g., industry and transport companies) by creating and enforcing regulations on pollutants' emissions.
4.1.3	Consideration(s)	3430	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
4.1.3	Consideration(s)	3440	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
4.1.3	Consideration(s)	3450	The developments can encompass institutional (e.g. new regulations), operational (e.g. improve data management) and/or infrastructural (e.g. extension of the monitoring network) measures.
4.1.3	Consideration(s)	3460	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
4.1.3	Example(s)	3470	A city currently developing an environmental plan that includes the establishment of an air quality monitoring system has its plan categorised as 'under development' at the 'local' level.
4.1.3	Example(s)	3480	A city currently implementing policies that regulate the emission of air pollutants by motor vehicles, such as the limitation of the traffic within the city centre during certain days of the week, has its development plan categorised as 'under implementation' and the 'local' level should be selected.
4.1.4	Consideration(s)	3490	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
4.1.4	Consideration(s)	3500	A contingency plan can include different alert levels based on the level of pollution and emergency duration, implying in different measures.
4.1.4	Consideration(s)	3510	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
4.1.4	Example(s)	3520	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
4.1.4	Example(s)	3530	A city with a high alert level (red alert) on air pollution, applying measures such as odd-and-even license plate rule for traffic control, the closing of schools and the limitation of the industry’s emissions by 30%, has its contingency plan categorised as 'implemented'.
4.2	General Consideration(s)	3540	Water body is any relevant accumulation of water, encompassing still (e.g. lakes, wetlands) and running (e.g. rivers, canals) water bodies. Note that running water bodies can also be referred as waterways.
4.2	General Consideration(s)	3550	Consider all natural or man-made water bodies that play an important role in the socio-cultural, economic and/or environmental aspects of the city.
4.2	General Consideration(s)	3560	The different water bodies and/or water body types (e.g. rivers, lakes, etc.) can be considered separately.
4.2.1	Consideration(s)	3570	Note that it is possible for the same water body to have more than one usage.
4.2.1	Consideration(s)	3580	For water body area, data is usually given in hectare (ha) or sq. kilometres (km2), or as a percentage of the total city area.
4.2.1	Example(s)	3590	A city may have a 'lake' that is used for 'transport', for 'recreation' purposes and also as a 'water storage' to be used during the dry season.
4.2.2	Consideration(s)	3600	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
4.2.2	Consideration(s)	3610	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the water body management, including the coordination of the different stakeholders.
4.2.2	Example(s)	3620	The local government can be only 'informed' of the decisions taken regarding a river crossing the city, managed by the waterway department of the Ministry of Environment.
4.2.3	Consideration(s)	3630	The different plans for different objectives (e.g. removal of waste, water quality monitoring) can be considered separately.
4.2.3	Consideration(s)	3640	Regulations and standards should include requirements regarding water quality and the specific usage of the water body.
4.2.3	Consideration(s)	3650	Water quality can be measured through different methods and indicators. International agencies suggest the usage of different indicators such as biochemical oxygen demand, dissolved oxygen, nitrate, phosphate, pH, temperature, turbidity and coliform bacteria.
4.2.3	Example(s)	3660	A city that has an operation and maintenance plan for their water bodies but has not enforced it, resulting in the recurrent usage of water bodies as solid waste dumpsites, is categorised as having a 'developed but not implemented' plan.
4.2.3	Example(s)	3670	A city that only monitors the health status of a water body for recreational purposes but fails to do any action when the water body is compromised is considered to have a plan 'under development'.
4.2.4	Consideration(s)	3680	The different plans for different objectives (e.g. removal of waste, water quality monitoring) can be considered separately.
4.2.4	Consideration(s)	3690	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
4.2.4	Consideration(s)	3700	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
4.2.4	Consideration(s)	3710	The developments can encompass institutional (e.g. new policies), operational (e.g. creation of a city department dedicated to waterways) and/or infrastructural (e.g. acquiring new equipment for monitoring water quality) measures.
4.2.4	Consideration(s)	3720	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
4.2.4	Example(s)	3730	If a city has developed a plan where it determines the procedures and mechanisms to protect, recover and restore the biodiversity of the city's wetlands, but still has not taken any action to put it in place, then it is considered that the plan has been 'developed but not implemented' and the spatial scale chosen should be 'local'.
4.2.4	Example(s)	3740	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
4.2.5	Consideration(s)	3750	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.
4.2.5	Consideration(s)	3760	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
4.2.5	Example(s)	3770	If the regional government has a contingency plan for the removal of debris of the city's river after a hazard, the roles and responsibilities have been assigned and the means identified are regularly tested, then the plan is considered as 'implemented, periodically monitored and reviewed' and developed at a 'regional' level.
4.2.5	Example(s)	3780	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
4.3	General Consideration(s)	3790	Green spaces are open spaces within the city that perform at least one environmental function, such as protection of biodiversity, improvement of air quality, protection of water bodies and waterways banks, the drainage of rain water or provide wind shelter or cooling (e.g., parks, urban gardens, green corridors). These usually have multiple usages such as leisure, transportation, economic, educational and sports activities. Green spaces can be natural or man-made.
4.3	General Consideration(s)	3800	Protected areas are locations that receive protection on an international, national, regional and/or municipal level due to their recognised natural, ecological and/or cultural values. These range from conservation areas where no types of human activity is permitted (e.g., extractive and indigenous reserves) to reserves where any type of human activity or presence is not permitted (e.g., strict nature reserve). (UNEP-WCMC)
4.3	General Consideration(s)	3810	All types of green spaces and protected areas, of both public and private property, should be included in the assessment.
4.3.1	Consideration(s)	3820	For green spaces and protected areas, data is usually given in hectare (ha) or sq. kilometres (km2), or as a percentage of the total city area.
4.3.1	Consideration(s)	3830	Green space coverage data is usually given in terms of the fraction of the population that lives within a 15-minute walking distance (arround 1000m) from a green space or by the corresponding city area where that population lives.
4.3.2	Consideration(s)	3840	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
