Code	Short Name	Long Name (hover)	Description	Parent	Next	ORDER	Dimension	Data Sources	Units	[+]	[+] comment
6.1.1		Population Access and Coverage	Enrolment figures include children within schooling age (related to the considered education level) that are registered in schools. Data should be gender-sensitive; these are commonly provided in relative terms (i.e., percentage of children enrolled), but can also be given in absolute numbers (i.e., total amount of students).	6.1	6.1.1.1	1500	Physical	#N/A	0	No	
6.1.1.2		Pupil/teacher ratio		6.1.1	6.1.1.3	1510	Physical	#N/A	0	No	
6.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the educational system can be considered separately.	6.1	6.1.3	1520	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the educational system can be considered separately.
6.1.3		Continuity of operation	The different educational levels and/or institutions can be considered separately.	6.1	6.1.3.1	1530	Functional	#N/A	0	Yes	The different educational levels and/or institutions can be considered separately.
6.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	6.1	6.1.4.1	1540	Functional	#N/A	0	No	
6.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the educational system should be explicit.	6.1	6.1.5.1	1550	Functional	#N/A	0	No	
6.2		Emergency and Rescue		6	6.2.1	1560	0	Emergency team(s), local government	0	No	
6.2.1		Resources	For the number of responders, each organisation can be considered separately. Data is usually given in relative terms (number of responders per 100,000 inhabitants), or absolute number of responders.	6.2	6.2.1.1	1570	Physical	#N/A	0	No	
6.2.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	6.2	6.2.2.1	1580	Organisational	#N/A	0	No	
6.2.3		Continuity of Operation	Please provide the average response time considering all the different emergency response team(s). There is an interest in understanding the quickness the events are responded to, regardless of the involved institution.	6.2	6.2.3.1	1590	Functional	#N/A	0	No	
6.2.4		Development Plan	The different plans for the distinct human or material resources can be considered separately.	6.2	6.2.4.1	1600	Functional	#N/A	0	Yes	The different plans for the distinct human or material resources can be considered separately.
6.2.5		Contingency Plan	The different plans for the distinct human or material resources can be considered separately.	6.2	6.2.5.1	1610	Functional	#N/A	0	Yes	The different plans for the distinct human or material resources can be considered separately.
6.3		Food Provision		6	6.3.1	1620	0	Wholesalers, retailers, statistical institutions, local government	0	No	
6.3.1		Population Access	Malnutrition refers to the condition where a person's diet does not provide proteins, energy and nutrients for an adequate growth and maintenance. It encompasses undernutrition (i.e., shortage of nutrients) and overnutrition (i.e., overweight and obesity).	6.3	6.3.1.1	1630	Physical	#N/A	0	No	
6.3.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	6.3	6.3.3	1640	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.3.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual shortages can affect the provision of food for the population.	6.3	6.3.3.1	1650	Functional	#N/A	0	No	
6.3.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	6.3	6.3.4.1	1660	Functional	#N/A	0	No	
6.3.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding food provision should be explicit.	6.3	6.3.5.1	1670	Functional	#N/A	0	No	
6.4		Health		6	6.4.1	1680	0	Ministry of Health, hospitals, health centres, census, local government	0	No	
6.4.1		Population Access and Coverage	Data can be given in relative terms, e.g. number of physicians per 1,000 people, or in absolute terms.	6.4	6.4.1.1	1690	Physical	#N/A	0	No	
6.4.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	6.4	6.4.3	1700	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.4.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.	6.4	6.4.3.1	1710	Functional	#N/A	0	No	
6.4.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	6.4	6.4.4.1	1720	Functional	#N/A	0	No	
6.4.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the health care system should be explicit.	6.4	6.4.5.1	1730	Functional	#N/A	0	No	
6.5		Safety and Justice		6	6.5.1	1740	0	Law enforcement and criminal justice institution(s), local government	0	No	
6.5.1		Resources	The different organisations can be considered separately.	6.5	6.5.2	1750	Physical	#N/A	0	Yes	The different organisations can be considered separately.
6.5.2		Local Government Jurisdiction	The different levels of jurisdiction over each organisation can be considered separately.	6.5	6.5.3	1760	Organisational	#N/A	0	Yes	The different levels of jurisdiction over each organisation can be considered separately.
6.5.3		Continuity of Operation	Please provide the average response time considering all the different law enforcement team(s). There is a particular interest in understanding the quickness the events are responded to, regardless of the law enforcement institution.	6.5	6.5.3.1	1770	Functional	#N/A	0	No	
6.5.4		Development Plan	The different plans for each organisation can be considered separately.	6.5	6.5.4.1	1780	Functional	#N/A	0	Yes	The different plans for each organisation can be considered separately.
6.5.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding alternatives for law enforcement should be explicit.	6.5	6.5.5.1	1790	Functional	#N/A	0	No	
6.6		Social Care		6	6.6.1	1800	0	Local government, non-profit organizations, charities	0	No	
6.6.1		Availability	Population data can be given in relative terms, i.e. fraction of the population that are not covered by social security measures in relation to total population, or in absolute terms.	6.6	6.6.1.1	1810	Physical	#N/A	0	No	
6.6.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	6.6	6.6.3	1820	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.6.3		Continuity of Operation	The different social care measures can be considered separately.	6.6	6.6.3.1	1830	Functional	#N/A	0	Yes	The different social care measures can be considered separately.
6.6.4		Development Plan	The different social care measures can be considered separately.	6.6	6.6.4.1	1840	Functional	#N/A	0	Yes	The different social care measures can be considered separately.
6.6.5		Contingency Plan	The different social care measures can be considered separately.	6.6	6.6.5.1	1850	Functional	#N/A	0	Yes	The different social care measures can be considered separately.
7		Social		0	7.1	1860	0	#N/A	0	No	
7.1		Civic Engagement		7	7.1.1	1870	0	Civil Society Organisations, surveys, local government	0	No	
7.1.1		Citizens' Voting in Election Processes	Data is usually given in relative numbers (i.e., as a percentage in relation to the total eligible population), or in absolute numbers (i.e., total amount of voters), as long as the total eligible population value is provided. Both should be specified by gender.	7.1	7.1.1.1	1880	Physical	#N/A	0	No	
7.1.2		Citizens' Candidacy	Consider the total number of candidates for all the local and sub-local political positions (including executive and legislative power, when applicable). Take into account in the assessment independent candidates as well as all the members of the party-lists running for elections.	7.1	7.1.2.1	1890	Organisational	#N/A	0	No	
7.1.3		Bottom-Up Initiatives		7.1	7.1.3.1	1900	Functional	#N/A	0	No	
7.2		Social Participation		7	7.2.1	1910	0	Civil society organisations, surveys, local government	0	No	
7.2.1		Individual Participation		7.2	7.2.1.1	1920	Organisational	#N/A	0	No	
7.2.1.2		Charitable donations	Following the type of donations considered, data can be given together or separately.	7.2.1	7.2.2	1930	Organisational	#N/A	Y	Yes	Following the type of donations considered, data can be given together or separately.
7.2.2		Civil Society Organisations' Collaboration		7.2	7.2.2.1	1940	Functional	#N/A	0	No	
7.3		Communication, Knowledge and Capacity Building		7	7.3.1	1950	0	Civil society organisations, surveys, local government	0	No	
7.3.1		Means of Communication	Data can be given in relative numbers (i.e. as a percentage in relation to the total population), or in absolute numbers (i.e. total amount) and can be specified by gender.	7.3	7.3.1.1	1960	Physical	#N/A	0	No	
7.3.2		Coverage of Contingency Plans	The different contingency plans encompassing different hazards and/or areas can be considered separately.	7.3	7.3.3	1970	Physical	#N/A	Y	Yes	The different contingency plans encompassing different hazards and/or areas can be considered separately.
7.3.3		Content of Contingency Plans		7.3	7.3.3.1	1980	Functional	#N/A	0	No	
7.3.4		Capacity Building and Awareness		7.3	7.3.4.1	1990	Functional	#N/A	0	No	
8		Transport		0	8.1	2000	0	#N/A	0	No	
8.1		Modal Split		8	8.1.1	2010	0	Transport and infrastructure operators, transport management departments, surveys, local government	0	No	
8.2		Land		8	8.2.1	2020	0	#N/A	0	No	
8.2.1		Roads		8.2	8.2.1.1	2030	0	#N/A	0	No	
8.2.1.1		Infrastructure		8.2.1	8.2.1.1.1	2040	0	Roads and infrastructure departments, infrastructure operators, statistical institutes, local government	0	No	
8.2.1.1.1		Coverage	Road density is the ratio of the total lenght of roads within the urban limits in relation to the total urban land area, usually given in kms of roads per sq. kms of land.	8.2.1.1	8.2.1.1.1.1	2050	Physical	#N/A	0	No	
8.2.1.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.2.1.1	8.2.1.1.3	2060	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.1.1.3		Continuity of Operation	The average daily duration of traffic congestion is usually given in terms of the amount of time per day the flow of vehicles is considered unsatisfactory considering the local context.	8.2.1.1	8.2.1.1.3.1	2070	Functional	#N/A	0	No	
8.2.1.2		Public Transport	#N/A	8.2.1	8.2.1.2.1	2080	0	Transport company(ies), roads department, local government	0	No	
8.2.1.2.1		Coverage	For the coverage of the service, only consider modes that follow specific routes (regular or not). A radius of around 500 m from the stops is usually considered as the catchment area, however this may vary based on local conditions.	8.2.1.2	8.2.1.2.1.1	2090	Physical	#N/A	0	No	
8.2.1.2.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.2.1.2	8.2.1.2.3	2100	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.1.2.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the network.	8.2.1.2	8.2.1.2.3.1	2110	Functional	#N/A	0	No	
8.2.1.2.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.2.1.2	8.2.1.2.5	2120	Functional	#N/A	0	No	
8.2.1.2.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the public transport network should be explicit.	8.2.1.2	8.2.1.2.5.1	2130	Functional	#N/A	0	No	
8.2.1.3		Private Transport	#N/A	8.2.1	8.2.1.3.1	2140	0	Roads department, automobile associations, local government	0	No	
8.2.1.3.1		Motorisation Rate	Data is usually given in relative terms, e.g. number of vehicles per 1,000 people.	8.2.1.3	8.2.1.3.2	2150	Physical	#N/A	Y	No	
8.2.1.3.2		Management	Consider all types of initiatives, from government, private sector or civil society. These can be 'push' measures, i.e., aiming at minimising the use of private vehicles; or 'pull' measures, i.e., encouraging the use of shared transport by making them more attractive.	8.2.1.3	8.2.1.3.3	2160	Functional	#N/A	0	No	
8.2.1.3.3		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.2.1.3	8.2.1.4	2170	Functional	#N/A	0	No	
8.2.1.4		Goods Transport	#N/A	8.2.1	8.2.1.4.1	2180	0	Transport company(ies), local government	0	No	
8.2.1.4.1		Coverage	Data can be provided in terms of portion of the city's area or population covered by the network.	8.2.1.4	8.2.1.4.1.1	2190	Physical	#N/A	0	No	
8.2.1.4.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.2.1.4	8.2.1.4.3	2200	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.1.4.3		Management	Consider all types of initiatives, from government, private sector and civil society. These involve measures to both facilitate the transport of goods and/or to limit it.	8.2.1.4	8.2.1.4.4	2210	Functional	#N/A	0	No	
8.2.1.4.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.2.1.4	8.2.1.4.5	2220	Functional	#N/A	0	No	
8.2.1.4.5		Contingency Plan	Emergency situations can include, for example, spillage of hazardous substances being transported, disruptions of access by road, etc.	8.2.1.4	8.2.1.4.5.1	2230	Functional	#N/A	0	No	
8.2.1.5		Non-Motorised Transport	#N/A	8.2.1	8.2.1.5.1	2240	0	Population, surveys, local government	0	No	
8.2.1.5.1		Infrastructure/Coverage	Data is usually provided in terms of the fraction of the city covered by such infrastructures, but can also be provided in absolute terms (e.g. total area in sq. metres).	8.2.1.5	8.2.1.5.1.1	2250	Physical	#N/A	0	No	
8.2.1.5.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.2.1.5	8.2.1.5.3	2260	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.1.5.3		Management	Consider all types of initiatives, from government, private sector and civil society.	8.2.1.5	8.2.1.5.4	2270	Functional	#N/A	0	No	
8.2.1.5.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.2.1.5	8.2.1.5.4.1	2280	Functional	#N/A	0	No	
8.2.2		Railways	#N/A	8.2	8.2.2.1	2290	0	#N/A	0	No	
8.2.2.1		Light Rail Transit	#N/A	8.2.2	8.2.2.1.1	2300	0	Railway company(ies), railway departments, local government	0	No	
8.2.2.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.2.2.1	8.2.2.1.3	2310	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.2.1.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.	8.2.2.1	8.2.2.1.3.1	2320	Functional	#N/A	0	No	
8.2.2.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.2.2.1	8.2.2.1.5	2330	Functional	#N/A	0	No	
8.2.2.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	8.2.2.1	8.2.2.1.5.1	2340	Functional	#N/A	0	No	
8.2.2.2		Heavy Rail Transit	#N/A	8.2.2	8.2.2.2.1	2350	0	Railway company(ies), railway departments, local government	0	No	
8.2.2.2.1		Infrastructure/Coverage	For the coverage of the service, a radius of around 1 km from the stations is usually considered as the catchment area, however this may vary based on local conditions. Data can be given in terms of city's area or population covered by the service, in absolute (e.g. area in sq. metres, people attended) or relative (e.g. percentage of city's area or population) figures.	8.2.2.2	8.2.2.2.1.1	2360	Physical	#N/A	0	No	
8.2.2.2.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.2.2.2	8.2.2.2.3	2370	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.2.2.2.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.	8.2.2.2	8.2.2.2.3.1	2380	Functional	#N/A	0	No	
8.2.2.2.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.2.2.2	8.2.2.2.4.1	2390	Functional	#N/A	0	No	
8.2.2.2.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	8.2.2.2	8.2.2.2.5.1	2400	Functional	#N/A	0	No	
8.3		Water	#N/A	8	8.3.1	2410	0	#N/A	0	No	
8.3.1		Light Vessels	#N/A	8.3	8.3.1.1	2420	0	Transport company(ies), ports authority, private owners or associations, local government	0	No	
8.3.1.1		Capacity	For both carrying capacity and boat ownership, only vessels used for commercial purposes (either full- or part-time) should be considered. Watercrafts for leisure only should not be included.	8.3.1	8.3.1.1.1	2430	Physical	#N/A	0	No	
8.3.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.3.1	8.3.1.3	2440	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.3.1.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the operation.	8.3.1	8.3.1.3.1	2450	Functional	#N/A	0	No	
8.3.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.3.1	8.3.1.4.1	2460	Functional	#N/A	0	No	
8.3.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	8.3.1	8.3.1.5.1	2470	Functional	#N/A	0	No	
8.3.2		Heavy Vessels	#N/A	8.3	8.3.2.1	2480	0	Freight ship company(ies), ports authority, private owners or associations, local government	0	No	
8.3.2.1		Capacity	Figures for both passengers and freight can be given either in terms of traffic or in terms of the capacity of the port.	8.3.2	8.3.2.1.1	2490	Physical	#N/A	0	No	
8.3.2.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the operation can be considered separately.	8.3.2	8.3.2.3	2500	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the operation can be considered separately.
8.3.2.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the operation.	8.3.2	8.3.2.3.1	2510	Functional	#N/A	0	No	
8.3.2.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.3.2	8.3.2.4.1	2520	Functional	#N/A	0	No	
8.3.2.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	8.3.2	8.3.2.5.1	2530	Functional	#N/A	0	No	
8.4		Air	#N/A	8	8.4.1	2540	0	#N/A	0	No	
8.4.1		Airport	#N/A	8.4	8.4.1.1	2550	0	Airport operators, local government	0	No	
8.4.1.1		Traffic	Figures for both passengers and freight can be given either in terms of traffic or in terms of the capacity of the airport(s).	8.4.1	8.4.1.1.1	2560	Physical	#N/A	0	No	
8.4.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the operation can be considered separately.	8.4.1	8.4.1.3	2570	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the operation can be considered separately.
8.4.1.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the operation.	8.4.1	8.4.1.3.1	2580	Functional	#N/A	0	No	
8.4.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.4.1	8.4.1.4.1	2590	Functional	#N/A	0	No	
8.4.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	8.4.1	8.4.1.5.1	2600	Functional	#N/A	0	No	
8.5		Other	#N/A	8	8.5.1	2610	0	#N/A	0	No	
8.5.1		Cable Transport	#N/A	8.5	8.5.1.1	2620	0	Transport company(ies), local government	0	No	
8.5.1.1		Infrastructure/Coverage	Information regarding carrying capacity can be given, for example, in terms of capacity per direction per hour, or the total daily capacity of the network.	8.5.1	8.5.1.1.1	2630	Physical	#N/A	0	No	
8.5.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	8.5.1	8.5.1.3	2640	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
8.5.1.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.	8.5.1	8.5.1.3.1	2650	Functional	#N/A	0	No	
8.5.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	8.5.1	8.5.1.5	2660	Functional	#N/A	0	No	
8.5.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding cable transport network should be explicit.	8.5.1	1	2670	Functional	#N/A	0	No	
